LicenseID,License Type,Name of Program,County,Capacity,Ages Served/FCC Classification,Initial Effective Date,StateAsOfDate,License State,Year
1078556,Child Care Center,Heartwood Montessori School Northeast Minneapolis,Hennepin,20,"Preschool, ",9/14/2015,9/14/2015,Active,2018
1078594,Child Care Center,Mt Olive Lutheran Preschool,Wright,20,"Preschool, ",8/31/2015,8/31/2015,Active,2018
1078596,Child Care Center,Iqra Preschool,Hennepin,45,"Preschool, ",9/6/2016,8/27/2018,Conditional,2018
1078600,Child Care Center,Childrens Care Early Learning Center Inc,Hennepin,50,"Infant, Toddler, Preschool, School Age",11/9/2015,1/29/2018,Revoked,2018
1078602,Child Care Center,Mes Amis French School,Hennepin,17,"Preschool, School Age",10/5/2015,10/5/2015,Active,2018
1078613,Child Care Center,First Steps,Olmsted,86,"Infant, Toddler, ",1/4/2016,1/4/2016,Active,2018
1078627,Child Care Center,Canoga Park Childcare,Lyon,38,"Infant, Toddler, Preschool, ",10/9/2015,10/9/2015,Active,2018
1078834,Child Care Center,South Metro Montessori School,Dakota,27,"Toddler, Preschool, School Age",1/4/2016,1/4/2016,Active,2018
1078835,Child Care Center,City Child Care Center LLC,Hennepin,95,"Infant, Toddler, Preschool, School Age",10/16/2015,10/16/2015,Active,2018
1078836,Child Care Center,Sauk Rapids Playhouse Child Care Center Inc,Benton,68,"Infant, Toddler, Preschool, ",2/9/2016,2/9/2016,Active,2018
1078846,Child Care Center,Prestige Preschool Academy,Dakota,168,"Infant, Toddler, Preschool, School Age",10/20/2015,10/20/2015,Active,2018
1078870,Child Care Center,New Horizon Academy,Hennepin,176,"Infant, Toddler, Preschool, School Age",11/30/2015,11/30/2015,Active,2018
1078900,Child Care Center,Jardin Powderhorn,Hennepin,126,"Infant, Toddler, Preschool, ",11/16/2015,11/16/2015,Active,2018
1078908,Child Care Center,Original Child Care Center Inc (The),Hennepin,60,"Infant, Toddler, Preschool, School Age",11/9/2016,11/9/2016,Active,2018
1078911,Child Care Center,Lake Area Discovery Center @ St Barts Catholic School,Hennepin,54,"Preschool, ",9/16/2015,9/16/2015,Active,2018
1079018,Child Care Center,United Child Care Center Inc,Hennepin,51,"Infant, Toddler, Preschool, School Age",10/31/2015,10/31/2015,Active,2018
1079027,Child Care Center,Sonnet Montessori,Dakota,71,"Infant, Toddler, Preschool, ",10/19/2015,10/19/2015,Active,2018
1079075,Child Care Center,Mendota Child Daycare Center LLC,Dakota,87,"Infant, Toddler, Preschool, School Age",2/23/2017,2/23/2017,Active,2018
1079085,Child Care Center,International Montessori Academy of Minnesota,Hennepin,20,"Preschool, ",10/1/2015,10/1/2015,Active,2018
1079089,Child Care Center,A to Z Childrens Academy,Hennepin,60,"Infant, Toddler, Preschool, ",1/4/2016,1/4/2016,Active,2018
1079093,Child Care Center,Next Steps Learning Center,Carver,125,"Infant, Toddler, Preschool, School Age",2/26/2016,2/26/2016,Active,2018
1079094,Child Care Center,Next Steps Learning Center,Carver,139,"Infant, Toddler, Preschool, School Age",2/26/2016,2/26/2016,Active,2018
1079345,Child Care Center,Angies Infant & Toddler Daycare,Scott,34,"Infant, Toddler, ",1/15/2016,1/15/2016,Active,2018
1079346,Child Care Center,Primrose School of Apple Valley,Dakota,181,"Infant, Toddler, Preschool, School Age",1/11/2016,1/11/2016,Active,2018
1079458,Child Care Center,Building Blocks Learning Center,St. Louis,62,"Infant, Toddler, Preschool, School Age",1/4/2016,1/4/2016,Active,2018
1079486,Child Care Center,Hand in Hand Christian Montessori Bethany Childrens House,Hennepin,56,"Preschool, School Age",1/8/2016,1/8/2016,Active,2018
1079498,Child Care Center,Goddard School (The),Hennepin,142,"Infant, Toddler, Preschool, ",6/13/2016,6/13/2016,Active,2018
1079571,Child Care Center,Motherly Love Daycare Inc,Hennepin,84,"Infant, Toddler, Preschool, School Age",12/19/2015,12/19/2015,Active,2018
1079577,Child Care Center,Sunshine Care Center LLC,Hennepin,58,"Infant, Toddler, Preschool, School Age",5/2/2016,3/26/2018,Closed,2018
1079708,Child Care Center,All Saints Academy St Cloud Campus,Stearns,38,"Preschool, ",8/30/2016,8/30/2016,Active,2018
1079853,Child Care Center,New Horizon Academy,Olmsted,128,"Infant, Toddler, ",6/20/2016,6/20/2016,Active,2018
