school_district,school_name,K_enroll,MMR_pct_vac,MMR_pct_nodoses,MMR_pct_nonmedical,MMR_pct_medical,notes
OSSEO,PIONEERS ACADEMY,11,0.9091,0.0000,0.0909,0.0000,
OWATONNA,OWATONNA CHRISTIAN,11,0.9091,0.0000,0.0000,0.0909,
RED LAKE FALLS,J.A. HUGHES EL.,33,0.9091,0.0303,0.0303,0.0303,
ROCORI,RICHMOND EL.,22,0.9091,0.0455,0.0455,0.0000,
ROSEVILLE,ST JEROME,11,0.9091,0.0000,0.0909,0.0000,
SLEEPY EYE,ST MARYS ELEMENTARY,22,0.9091,0.0000,0.0909,0.0000,
ST. CLOUD,LINCOLN EL.,66,0.9091,0.0909,0.0000,0.0000,
ST. PAUL,ST. PETER CLAVER CATHOLIC,11,0.9091,0.0909,0.0000,0.0000,
WACONIA,SOUTHVIEW EL.,111,0.9099,0.0000,0.0901,0.0000,
LAKEVILLE,LAKEVIEW EL.,89,0.9101,0.0000,0.0562,0.0337,
ANOKA-HENNEPIN,CROOKED LAKE EL.,78,0.9103,0.0513,0.0385,0.0000,
ST. CLOUD,KENNEDY EL.,78,0.9103,0.0256,0.0385,0.0256,
DASSEL-COKATO,DASSEL EL.,67,0.9104,0.0000,0.0896,0.0000,
HOPKINS,ALICE SMITH EL.,67,0.9104,0.0000,0.0896,0.0000,
BURNSVILLE,RAHN EL.,45,0.9111,0.0222,0.0667,0.0000,
ROUND LAKE-BREWSTER PUBLIC SCHOOLS,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,45,0.9111,0.0889,0.0000,0.0000,
TRACY AREA PUBLIC SCHOOLS,TRACY EL.,45,0.9111,0.0889,0.0000,0.0000,
DOVER-EYOTA,DOVER-EYOTA EL.,79,0.9114,0.0633,0.0253,0.0000,
MOORHEAD,PARK CHRISTIAN,34,0.9118,0.0000,0.0882,0.0000,
ST. PAUL,RIVERVIEW,68,0.9118,0.0882,0.0000,0.0000,
ROSEVILLE,BRIMHALL EL.,103,0.9126,0.0388,0.0485,0.0000,
